Ensembl Protein ID	Ensembl Transcript ID	Ensembl Gene ID	Associated Gene Name
ENSRNOP00000000203	ENSRNOT00000000203	ENSRNOG00000000187	Csf2rb
ENSRNOP00000000205	ENSRNOT00000000205	ENSRNOG00000024631	Chadl
ENSRNOP00000000206	ENSRNOT00000000206	ENSRNOG00000000190	EP300
ENSRNOP00000000211	ENSRNOT00000000211	ENSRNOG00000046414	Vwa5a
ENSRNOP00000000212	ENSRNOT00000000212	ENSRNOG00000000196	Cyp19a1
ENSRNOP00000000215	ENSRNOT00000000215	ENSRNOG00000000199	Dppa5
ENSRNOP00000000222	ENSRNOT00000000222	ENSRNOG00000046730	
ENSRNOP00000000231	ENSRNOT00000000231	ENSRNOG00000000216	Klf11
ENSRNOP00000000233	ENSRNOT00000000233	ENSRNOG00000000217	
ENSRNOP00000000239	ENSRNOT00000000239	ENSRNOG00000000221	Abhd5
ENSRNOP00000000246	ENSRNOT00000000246	ENSRNOG00000000230	Lmf1
ENSRNOP00000000248	ENSRNOT00000000248	ENSRNOG00000029205	Zfp354c
ENSRNOP00000000249	ENSRNOT00000000249	ENSRNOG00000000233	Grm6
ENSRNOP00000000253	ENSRNOT00000000253	ENSRNOG00000000236	Zfp207
ENSRNOP00000000254	ENSRNOT00000000254	ENSRNOG00000000237	RGD1310429
ENSRNOP00000000256	ENSRNOT00000000256	ENSRNOG00000000239	Ccl7
ENSRNOP00000000258	ENSRNOT00000000258	ENSRNOG00000002778	Aatf
ENSRNOP00000000259	ENSRNOT00000000259	ENSRNOG00000000242	Synrg
ENSRNOP00000000263	ENSRNOT00000000263	ENSRNOG00000000246	Amz2
ENSRNOP00000000264	ENSRNOT00000000264	ENSRNOG00000000247	Mfsd11
ENSRNOP00000000266	ENSRNOT00000000266	ENSRNOG00000000249	Mettl23
ENSRNOP00000000274	ENSRNOT00000000274	ENSRNOG00000000257	Smpd3
ENSRNOP00000000275	ENSRNOT00000000275	ENSRNOG00000000258	Prmt7
ENSRNOP00000000279	ENSRNOT00000000279	ENSRNOG00000000262	Zfp821
ENSRNOP00000000281	ENSRNOT00000000281	ENSRNOG00000000264	Def8
ENSRNOP00000000299	ENSRNOT00000000299	ENSRNOG00000000274	Phyhipl
ENSRNOP00000000302	ENSRNOT00000000302	ENSRNOG00000000277	Tet1
ENSRNOP00000000304	ENSRNOT00000000304	ENSRNOG00000000279	Rtn4ip1
ENSRNOP00000000306	ENSRNOT00000000306	ENSRNOG00000038001	Slc25a1
ENSRNOP00000000308	ENSRNOT00000000308	ENSRNOG00000000283	Dgcr14
ENSRNOP00000000312	ENSRNOT00000000312	ENSRNOG00000037983	Car15
ENSRNOP00000000313	ENSRNOT00000000313	ENSRNOG00000000288	Scarf2
ENSRNOP00000000317	ENSRNOT00000000317	ENSRNOG00000026814	Qtrtd1
ENSRNOP00000000323	ENSRNOT00000000323	ENSRNOG00000000296	Aqp6
ENSRNOP00000000324	ENSRNOT00000000324	ENSRNOG00000000297	Aqp2
ENSRNOP00000000325	ENSRNOT00000000325	ENSRNOG00000028658	Olig2
ENSRNOP00000000327	ENSRNOT00000000327	ENSRNOG00000000299	Foxo3
ENSRNOP00000000331	ENSRNOT00000000331	ENSRNOG00000000303	Cep57l1
ENSRNOP00000000334	ENSRNOT00000000334	ENSRNOG00000000304	Cd164
ENSRNOP00000000336	ENSRNOT00000000336	ENSRNOG00000000306	Smpd2
ENSRNOP00000000337	ENSRNOT00000000337	ENSRNOG00000000307	Mical1
ENSRNOP00000000341	ENSRNOT00000000340	ENSRNOG00000037668	RGD1561147
ENSRNOP00000000343	ENSRNOT00000000343	ENSRNOG00000000312	Fig4
ENSRNOP00000000348	ENSRNOT00000000348	ENSRNOG00000000316	Sobp
ENSRNOP00000000351	ENSRNOT00000000351	ENSRNOG00000000320	Timm10b
ENSRNOP00000000352	ENSRNOT00000000352	ENSRNOG00000000321	Cd24
ENSRNOP00000000365	ENSRNOT00000000365	ENSRNOG00000000327	Hace1
ENSRNOP00000000383	ENSRNOT00000000383	ENSRNOG00000000341	Nid2
ENSRNOP00000000426	ENSRNOT00000000426	ENSRNOG00000000379	Dnajc12
ENSRNOP00000000427	ENSRNOT00000000427	ENSRNOG00000000380	Sirt1
ENSRNOP00000000432	ENSRNOT00000000432	ENSRNOG00000000384	Atoh7
ENSRNOP00000000434	ENSRNOT00000000434	ENSRNOG00000000386	Pbld1
ENSRNOP00000000438	ENSRNOT00000000438	ENSRNOG00000000389	Dna2
ENSRNOP00000000441	ENSRNOT00000000441	ENSRNOG00000000392	Supv3l1
ENSRNOP00000000443	ENSRNOT00000000443	ENSRNOG00000000394	Srgn
ENSRNOP00000000444	ENSRNOT00000000444	ENSRNOG00000000395	2510003E04Rik
ENSRNOP00000000446	ENSRNOT00000000446	ENSRNOG00000000396	Ddx50
ENSRNOP00000000447	ENSRNOT00000000447	ENSRNOG00000047049	
ENSRNOP00000000448	ENSRNOT00000000448	ENSRNOG00000000398	Zufsp
ENSRNOP00000000449	ENSRNOT00000000449	ENSRNOG00000009602	
ENSRNOP00000000451	ENSRNOT00000000451	ENSRNOG00000000401	GPRC6A
ENSRNOP00000000456	ENSRNOT00000000456	ENSRNOG00000000405	Vgll2
ENSRNOP00000000459	ENSRNOT00000000459	ENSRNOG00000000406	Ros1
ENSRNOP00000000462	ENSRNOT00000000462	ENSRNOG00000000407	Dcbld1
ENSRNOP00000000467	ENSRNOT00000000467	ENSRNOG00000000411	Nus1
ENSRNOP00000000468	ENSRNOT00000000468	ENSRNOG00000000412	Slc35f1
ENSRNOP00000000469	ENSRNOT00000000469	ENSRNOG00000000413	Pln
ENSRNOP00000000471	ENSRNOT00000000471	ENSRNOG00000000415	Asf1a
ENSRNOP00000000474	ENSRNOT00000000474	ENSRNOG00000000417	Numa1
ENSRNOP00000000475	ENSRNOT00000000475	ENSRNOG00000026407	Fam184a
ENSRNOP00000000476	ENSRNOT00000000476	ENSRNOG00000000418	Zbtb12
ENSRNOP00000000477	ENSRNOT00000000477	ENSRNOG00000000419	C2
ENSRNOP00000000478	ENSRNOT00000000478	ENSRNOG00000000420	Nelfe
ENSRNOP00000000481	ENSRNOT00000000481	ENSRNOG00000000421	Skiv2l
ENSRNOP00000000483	ENSRNOT00000000483	ENSRNOG00000000422	Dxo
ENSRNOP00000000484	ENSRNOT00000000484	ENSRNOG00000000423	Stk19
ENSRNOP00000000492	ENSRNOT00000000492	ENSRNOG00000000431	Atf6b
ENSRNOP00000000494	ENSRNOT00000000494	ENSRNOG00000000432	Fkbpl
ENSRNOP00000000495	ENSRNOT00000000495	ENSRNOG00000000433	Prrt1
ENSRNOP00000000497	ENSRNOT00000000497	ENSRNOG00000000435	Ppt2
ENSRNOP00000000499	ENSRNOT00000000499	ENSRNOG00000000436	Egfl8
ENSRNOP00000000500	ENSRNOT00000000500	ENSRNOG00000000437	Agpat1
ENSRNOP00000000501	ENSRNOT00000000501	ENSRNOG00000000438	Rnf5
ENSRNOP00000000508	ENSRNOT00000000508	ENSRNOG00000000439	Ager
ENSRNOP00000000509	ENSRNOT00000000509	ENSRNOG00000000440	Pbx2
ENSRNOP00000000510	ENSRNOT00000000510	ENSRNOG00000000441	Gpsm3
ENSRNOP00000000513	ENSRNOT00000000513	ENSRNOG00000000442	Notch4
ENSRNOP00000000514	ENSRNOT00000000514	ENSRNOG00000000443	
ENSRNOP00000000522	ENSRNOT00000000522	ENSRNOG00000033215	RT1-Db1
ENSRNOP00000000523	ENSRNOT00000000523	ENSRNOG00000000451	RT1-Ba
ENSRNOP00000000525	ENSRNOT00000000525	ENSRNOG00000032708	RT1-Bb
ENSRNOP00000000526	ENSRNOT00000000526	ENSRNOG00000000454	RT1-DOb
ENSRNOP00000000527	ENSRNOT00000000527	ENSRNOG00000000455	Tap2
ENSRNOP00000000528	ENSRNOT00000000528	ENSRNOG00000000456	Psmb8
ENSRNOP00000000529	ENSRNOT00000000529	ENSRNOG00000000457	Tap1
ENSRNOP00000000532	ENSRNOT00000000532	ENSRNOG00000000459	Psmb9
ENSRNOP00000000535	ENSRNOT00000000535	ENSRNOG00000000461	Brd2
ENSRNOP00000000541	ENSRNOT00000000541	ENSRNOG00000000465	Slc39a7
ENSRNOP00000000542	ENSRNOT00000000542	ENSRNOG00000000466	Hsd17b8
ENSRNOP00000000543	ENSRNOT00000000543	ENSRNOG00000000467	Ring1
ENSRNOP00000000549	ENSRNOT00000000549	ENSRNOG00000000470	Vps52
ENSRNOP00000000550	ENSRNOT00000000550	ENSRNOG00000000471	B3galt4
ENSRNOP00000000552	ENSRNOT00000000552	ENSRNOG00000031171	Wdr46
ENSRNOP00000000553	ENSRNOT00000000553	ENSRNOG00000000473	Pfdn6
ENSRNOP00000000554	ENSRNOT00000000554	ENSRNOG00000000474	Rgl2
ENSRNOP00000000558	ENSRNOT00000000558	ENSRNOG00000000476	Zbtb22
ENSRNOP00000000559	ENSRNOT00000000559	ENSRNOG00000000477	Daxx
ENSRNOP00000000568	ENSRNOT00000000568	ENSRNOG00000000481	Cuta
ENSRNOP00000000572	ENSRNOT00000000572	ENSRNOG00000000483	Syngap1
ENSRNOP00000000574	ENSRNOT00000000574	ENSRNOG00000026799	Zbtb9
ENSRNOP00000000576	ENSRNOT00000000576	ENSRNOG00000000485	Bak1
ENSRNOP00000000577	ENSRNOT00000000577	ENSRNOG00000000486	Ggnbp1
ENSRNOP00000000580	ENSRNOT00000000580	ENSRNOG00000000488	Hmga1
ENSRNOP00000000581	ENSRNOT00000000581	ENSRNOG00000000489	Nudt3
ENSRNOP00000000583	ENSRNOT00000000583	ENSRNOG00000000491	Spdef
ENSRNOP00000000586	ENSRNOT00000000586	ENSRNOG00000000493	Snrpc
ENSRNOP00000000593	ENSRNOT00000000593	ENSRNOG00000000500	Scube3
ENSRNOP00000000594	ENSRNOT00000000594	ENSRNOG00000000500	Scube3
ENSRNOP00000000595	ENSRNOT00000000595	ENSRNOG00000000501	Zfp523
ENSRNOP00000000597	ENSRNOT00000000597	ENSRNOG00000000502	Def6
ENSRNOP00000000599	ENSRNOT00000000599	ENSRNOG00000022289	Aip
ENSRNOP00000000603	ENSRNOT00000000603	ENSRNOG00000000505	Rpl10a
ENSRNOP00000000607	ENSRNOT00000000607	ENSRNOG00000000506	Tead3
ENSRNOP00000000609	ENSRNOT00000000609	ENSRNOG00000000508	Armc12
ENSRNOP00000000611	ENSRNOT00000000611	ENSRNOG00000000510	Clps
ENSRNOP00000000612	ENSRNOT00000000612	ENSRNOG00000000511	Srpk1
ENSRNOP00000000617	ENSRNOT00000000617	ENSRNOG00000000513	Mapk14
ENSRNOP00000000618	ENSRNOT00000000618	ENSRNOG00000000513	Mapk14
ENSRNOP00000000621	ENSRNOT00000000621	ENSRNOG00000000515	Mapk13
ENSRNOP00000000623	ENSRNOT00000000623	ENSRNOG00000000516	Pxt1
ENSRNOP00000000624	ENSRNOT00000000624	ENSRNOG00000000517	Kctd20
ENSRNOP00000000627	ENSRNOT00000000627	ENSRNOG00000000520	Srsf3
ENSRNOP00000000628	ENSRNOT00000000628	ENSRNOG00000000521	Cdkn1a
ENSRNOP00000000629	ENSRNOT00000000629	ENSRNOG00000000522	Cpne5
ENSRNOP00000000631	ENSRNOT00000000631	ENSRNOG00000000524	RGD735065
ENSRNOP00000000632	ENSRNOT00000000632	ENSRNOG00000000525	Pi16
ENSRNOP00000000635	ENSRNOT00000000635	ENSRNOG00000000527	Mtch1
ENSRNOP00000000637	ENSRNOT00000000637	ENSRNOG00000000529	Pim1
ENSRNOP00000000639	ENSRNOT00000000639	ENSRNOG00000000531	Ccdc167
ENSRNOP00000000640	ENSRNOT00000000640	ENSRNOG00000000532	Cmtr1
ENSRNOP00000000642	ENSRNOT00000000642	ENSRNOG00000000534	Tbc1d22b
ENSRNOP00000000649	ENSRNOT00000000649	ENSRNOG00000000540	Btbd9
ENSRNOP00000000650	ENSRNOT00000000650	ENSRNOG00000000541	Glo1
ENSRNOP00000000651	ENSRNOT00000000651	ENSRNOG00000000542	Dnah8
ENSRNOP00000000653	ENSRNOT00000000653	ENSRNOG00000000543	Frk
ENSRNOP00000000655	ENSRNOT00000000655	ENSRNOG00000000545	Col10a1
ENSRNOP00000000657	ENSRNOT00000000657	ENSRNOG00000000546	Nt5dc1
ENSRNOP00000000658	ENSRNOT00000000658	ENSRNOG00000000547	Tspyl4
ENSRNOP00000000660	ENSRNOT00000000660	ENSRNOG00000000549	Tspyl1
ENSRNOP00000000661	ENSRNOT00000000661	ENSRNOG00000024413	Neurog3
ENSRNOP00000000662	ENSRNOT00000000662	ENSRNOG00000000551	RGD1305587
ENSRNOP00000000671	ENSRNOT00000000671	ENSRNOG00000000555	Eif4ebp2
ENSRNOP00000000672	ENSRNOT00000000672	ENSRNOG00000000556	Nodal
ENSRNOP00000000673	ENSRNOT00000000673	ENSRNOG00000000557	Sar1a
ENSRNOP00000000674	ENSRNOT00000000674	ENSRNOG00000000558	Ppa1
ENSRNOP00000000675	ENSRNOT00000000675	ENSRNOG00000000559	Npffr1
ENSRNOP00000000676	ENSRNOT00000000676	ENSRNOG00000000560	Lrrc20
ENSRNOP00000000681	ENSRNOT00000000681	ENSRNOG00000000562	Prf1
ENSRNOP00000000683	ENSRNOT00000000683	ENSRNOG00000000564	Tbata
ENSRNOP00000000687	ENSRNOT00000000687	ENSRNOG00000000566	Pcbd1
ENSRNOP00000000689	ENSRNOT00000000689	ENSRNOG00000000568	Slc29a3
ENSRNOP00000000696	ENSRNOT00000000696	ENSRNOG00000000571	Psap
ENSRNOP00000000697	ENSRNOT00000000697	ENSRNOG00000000572	Chst3
ENSRNOP00000000698	ENSRNOT00000000698	ENSRNOG00000000573	Spock2
ENSRNOP00000000700	ENSRNOT00000000700	ENSRNOG00000000574	
ENSRNOP00000000701	ENSRNOT00000000701	ENSRNOG00000000575	Ascc1
ENSRNOP00000000702	ENSRNOT00000000702	ENSRNOG00000000576	Anapc16
ENSRNOP00000000703	ENSRNOT00000000703	ENSRNOG00000000577	Ddit4
ENSRNOP00000000707	ENSRNOT00000000707	ENSRNOG00000000579	Marcks
ENSRNOP00000000708	ENSRNOT00000000708	ENSRNOG00000000580	Fam26d
ENSRNOP00000000710	ENSRNOT00000000710	ENSRNOG00000000582	Ddo
ENSRNOP00000000713	ENSRNOT00000000713	ENSRNOG00000000583	Cdk19
ENSRNOP00000000715	ENSRNOT00000000715	ENSRNOG00000000585	Amd1
ENSRNOP00000000716	ENSRNOT00000000716	ENSRNOG00000000586	Gtf3c6
ENSRNOP00000000717	ENSRNOT00000000717	ENSRNOG00000000587	Rpf2
ENSRNOP00000000718	ENSRNOT00000000718	ENSRNOG00000000588	Slc16a10
ENSRNOP00000000720	ENSRNOT00000000720	ENSRNOG00000000589	
ENSRNOP00000000728	ENSRNOT00000000728	ENSRNOG00000000595	Traf3ip2
ENSRNOP00000000733	ENSRNOT00000000733	ENSRNOG00000000596	Fyn
ENSRNOP00000000735	ENSRNOT00000000735	ENSRNOG00000000597	Wisp3
ENSRNOP00000000737	ENSRNOT00000000737	ENSRNOG00000000599	Lama4
ENSRNOP00000000742	ENSRNOT00000000742	ENSRNOG00000000604	Hdac2
ENSRNOP00000000743	ENSRNOT00000000743	ENSRNOG00000000605	Hs3st5
ENSRNOP00000000744	ENSRNOT00000000744	ENSRNOG00000000606	Pcdh15
ENSRNOP00000000745	ENSRNOT00000000745	ENSRNOG00000000607	RGD1559903
ENSRNOP00000000748	ENSRNOT00000000748	ENSRNOG00000000609	Ipmk
ENSRNOP00000000749	ENSRNOT00000000749	ENSRNOG00000000610	Cisd1
ENSRNOP00000000750	ENSRNOT00000000750	ENSRNOG00000000611	Ube2d1
ENSRNOP00000000753	ENSRNOT00000000753	ENSRNOG00000000613	Tfam
ENSRNOP00000000754	ENSRNOT00000000754	ENSRNOG00000000614	Bicc1
ENSRNOP00000000756	ENSRNOT00000000756	ENSRNOG00000000275	Fam13c
ENSRNOP00000000767	ENSRNOT00000000767	ENSRNOG00000000618	Mdga2
ENSRNOP00000000772	ENSRNOT00000000772	ENSRNOG00000000622	Hint1
ENSRNOP00000000780	ENSRNOT00000000780	ENSRNOG00000000630	
ENSRNOP00000000783	ENSRNOT00000000783	ENSRNOG00000000632	Cdk1
ENSRNOP00000000784	ENSRNOT00000000784	ENSRNOG00000000633	Rhobtb1
ENSRNOP00000000785	ENSRNOT00000000785	ENSRNOG00000000634	RGD1306739
ENSRNOP00000000787	ENSRNOT00000000787	ENSRNOG00000000635	Arid5b
ENSRNOP00000000791	ENSRNOT00000000791	ENSRNOG00000000639	Ado
ENSRNOP00000000792	ENSRNOT00000000792	ENSRNOG00000000640	Egr2
ENSRNOP00000000794	ENSRNOT00000000794	ENSRNOG00000000641	Nrbf2
ENSRNOP00000000804	ENSRNOT00000000804	ENSRNOG00000000648	Jmjd1c
ENSRNOP00000000807	ENSRNOT00000000807	ENSRNOG00000000650	
ENSRNOP00000000812	ENSRNOT00000000812	ENSRNOG00000000653	Nr5a2
ENSRNOP00000000814	ENSRNOT00000000814	ENSRNOG00000000655	Ptprc
ENSRNOP00000000817	ENSRNOT00000000817	ENSRNOG00000000657	Nek7
ENSRNOP00000000821	ENSRNOT00000000821	ENSRNOG00000000658	Acacb
ENSRNOP00000000823	ENSRNOT00000000823	ENSRNOG00000000660	Asphd2
ENSRNOP00000000824	ENSRNOT00000000824	ENSRNOG00000000661	Hps4
ENSRNOP00000000826	ENSRNOT00000000826	ENSRNOG00000000662	Srrd
ENSRNOP00000000828	ENSRNOT00000000828	ENSRNOG00000000663	Tfip11
ENSRNOP00000000831	ENSRNOT00000000831	ENSRNOG00000000664	Tpst2
ENSRNOP00000000874	ENSRNOT00000000874	ENSRNOG00000000693	Svop
ENSRNOP00000000881	ENSRNOT00000000881	ENSRNOG00000000694	Dao
ENSRNOP00000000883	ENSRNOT00000000883	ENSRNOG00000000695	Ssh1
ENSRNOP00000000886	ENSRNOT00000000886	ENSRNOG00000000697	Coro1c
ENSRNOP00000000888	ENSRNOT00000000888	ENSRNOG00000000699	Selplg
ENSRNOP00000000889	ENSRNOT00000000889	ENSRNOG00000000700	Tmem119
ENSRNOP00000000890	ENSRNOT00000000890	ENSRNOG00000000701	Iscu
ENSRNOP00000000891	ENSRNOT00000000891	ENSRNOG00000000702	Sart3
ENSRNOP00000000892	ENSRNOT00000000892	ENSRNOG00000000703	Ficd
ENSRNOP00000000893	ENSRNOT00000000893	ENSRNOG00000000704	Cmklr1
ENSRNOP00000000895	ENSRNOT00000000895	ENSRNOG00000000705	Wscd2
ENSRNOP00000000898	ENSRNOT00000000898	ENSRNOG00000000708	Sgsm1
ENSRNOP00000000901	ENSRNOT00000000901	ENSRNOG00000000711	RGD1306556
ENSRNOP00000000904	ENSRNOT00000000904	ENSRNOG00000040257	Chmp2b
ENSRNOP00000000905	ENSRNOT00000000905	ENSRNOG00000000715	POU1F1
ENSRNOP00000000907	ENSRNOT00000000907	ENSRNOG00000000716	Htr1f
ENSRNOP00000000909	ENSRNOT00000000909	ENSRNOG00000000718	Cggbp1
ENSRNOP00000000911	ENSRNOT00000000911	ENSRNOG00000000720	MGC95208
ENSRNOP00000000953	ENSRNOT00000000953	ENSRNOG00000000726	Olr1671
ENSRNOP00000000955	ENSRNOT00000000955	ENSRNOG00000000728	Clic2
ENSRNOP00000000956	ENSRNOT00000000956	ENSRNOG00000000729	Tmlhe
ENSRNOP00000000973	ENSRNOT00000000973	ENSRNOG00000000746	Olr1695
ENSRNOP00000000974	ENSRNOT00000000974	ENSRNOG00000000747	Olr1694
ENSRNOP00000000976	ENSRNOT00000000976	ENSRNOG00000000749	Olr1693
ENSRNOP00000000986	ENSRNOT00000000986	ENSRNOG00000000759	Olr1869
ENSRNOP00000000990	ENSRNOT00000000990	ENSRNOG00000000763	RT1-M3-1
ENSRNOP00000000992	ENSRNOT00000000992	ENSRNOG00000000765	Olr1743
ENSRNOP00000000995	ENSRNOT00000000995	ENSRNOG00000000768	Ubd
ENSRNOP00000001008	ENSRNOT00000001008	ENSRNOG00000000775	Mog
ENSRNOP00000001011	ENSRNOT00000001011	ENSRNOG00000000778	Znrd1as1
ENSRNOP00000001012	ENSRNOT00000001012	ENSRNOG00000000779	Znrd1
ENSRNOP00000001013	ENSRNOT00000001013	ENSRNOG00000000780	Ppp1r11
ENSRNOP00000001014	ENSRNOT00000001014	ENSRNOG00000000781	Rnf39
ENSRNOP00000001016	ENSRNOT00000001016	ENSRNOG00000000782	Trim10
ENSRNOP00000001017	ENSRNOT00000001017	ENSRNOG00000031689	Trim15
ENSRNOP00000001019	ENSRNOT00000001019	ENSRNOG00000032930	Trim26
ENSRNOP00000001021	ENSRNOT00000001021	ENSRNOG00000000785	Trim39
ENSRNOP00000001024	ENSRNOT00000001024	ENSRNOG00000000786	Rpp21
ENSRNOP00000001035	ENSRNOT00000001035	ENSRNOG00000000795	RT1-N3
